,Family,Superfamily,Class,TE_human
1,L1MC5a,L1,LINE,L1MC5a|L1|LINE
2,MER5B,hAT-Charlie,DNA,MER5B|hAT-Charlie|DNA
3,MIR3,MIR,SINE,MIR3|MIR|SINE
4,L2a,L2,LINE,L2a|L2|LINE
5,L3,CR1,LINE,L3|CR1|LINE
6,Plat_L3,CR1,LINE,Plat_L3|CR1|LINE
7,MLT1K,ERVL-MaLR,LTR,MLT1K|ERVL-MaLR|LTR
8,MIR,MIR,SINE,MIR|MIR|SINE
9,L2b,L2,LINE,L2b|L2|LINE
12,MIR1_Amn,MIR,SINE,MIR1_Amn|MIR|SINE
13,L2c,L2,LINE,L2c|L2|LINE
14,AluSp,Alu,SINE,AluSp|Alu|SINE
16,MER33,hAT-Charlie,DNA,MER33|hAT-Charlie|DNA
17,MIRb,MIR,SINE,MIRb|MIR|SINE
19,L1MB3,L1,LINE,L1MB3|L1|LINE
20,MER53,hAT,DNA,MER53|hAT|DNA
21,MLT1A,ERVL-MaLR,LTR,MLT1A|ERVL-MaLR|LTR
23,MIRc,MIR,SINE,MIRc|MIR|SINE
24,AluJo,Alu,SINE,AluJo|Alu|SINE
27,L1MB5,L1,LINE,L1MB5|L1|LINE
28,Alu,Alu,SINE,Alu|Alu|SINE
29,L1PA6,L1,LINE,L1PA6|L1|LINE
30,L1P1,L1,LINE,L1P1|L1|LINE
32,MLT1J2,ERVL-MaLR,LTR,MLT1J2|ERVL-MaLR|LTR
34,AluJr,Alu,SINE,AluJr|Alu|SINE
35,Charlie5,hAT-Charlie,DNA,Charlie5|hAT-Charlie|DNA
38,MLT1E1A-int,ERVL-MaLR,LTR,MLT1E1A-int|ERVL-MaLR|LTR
39,MLT1E1A,ERVL-MaLR,LTR,MLT1E1A|ERVL-MaLR|LTR
40,AluSx,Alu,SINE,AluSx|Alu|SINE
43,AluSz6,Alu,SINE,AluSz6|Alu|SINE
44,LTR16C,ERVL,LTR,LTR16C|ERVL|LTR
45,ERV3-16A3_I-int,ERVL,LTR,ERV3-16A3_I-int|ERVL|LTR
46,MamRep1527,LTR,LTR,MamRep1527|LTR|LTR
47,L1MA8,L1,LINE,L1MA8|L1|LINE
49,L1M5,L1,LINE,L1M5|L1|LINE
50,L1MA9,L1,LINE,L1MA9|L1|LINE
51,LTR12F,ERV1,LTR,LTR12F|ERV1|LTR
52,MER45A,hAT-Tip100,DNA,MER45A|hAT-Tip100|DNA
53,MER58A,hAT-Charlie,DNA,MER58A|hAT-Charlie|DNA
54,L1PA14,L1,LINE,L1PA14|L1|LINE
55,AluYj4,Alu,SINE,AluYj4|Alu|SINE
56,L2,L2,LINE,L2|L2|LINE
57,FLAM_A,Alu,SINE,FLAM_A|Alu|SINE
60,MER47A,TcMar-Tigger,DNA,MER47A|TcMar-Tigger|DNA
61,L1ME4c,L1,LINE,L1ME4c|L1|LINE
62,AluSc,Alu,SINE,AluSc|Alu|SINE
64,L1PA4,L1,LINE,L1PA4|L1|LINE
67,LTR89,ERVL,LTR,LTR89|ERVL|LTR
71,L1PA7,L1,LINE,L1PA7|L1|LINE
73,L1PA16,L1,LINE,L1PA16|L1|LINE
75,L1PA2,L1,LINE,L1PA2|L1|LINE
78,AluSz,Alu,SINE,AluSz|Alu|SINE
81,L1M2,L1,LINE,L1M2|L1|LINE
84,L1PREC2,L1,LINE,L1PREC2|L1|LINE
85,L1PB,L1,LINE,L1PB|L1|LINE
86,Tigger5b,TcMar-Tigger,DNA,Tigger5b|TcMar-Tigger|DNA
87,AluSc5,Alu,SINE,AluSc5|Alu|SINE
89,Tigger5,TcMar-Tigger,DNA,Tigger5|TcMar-Tigger|DNA
91,L1M4,L1,LINE,L1M4|L1|LINE
96,HAL1M8,L1,LINE,HAL1M8|L1|LINE
98,LTR103b_Mam,ERV1,LTR,LTR103b_Mam|ERV1|LTR
103,MLT1H2,ERVL-MaLR,LTR,MLT1H2|ERVL-MaLR|LTR
105,AluY,Alu,SINE,AluY|Alu|SINE
106,MER4D1,ERV1,LTR,MER4D1|ERV1|LTR
107,MER4CL34,ERV1,LTR,MER4CL34|ERV1|LTR
111,L5,RTE-X,LINE,L5|RTE-X|LINE
114,MLT1H,ERVL-MaLR,LTR,MLT1H|ERVL-MaLR|LTR
116,MLT1I,ERVL-MaLR,LTR,MLT1I|ERVL-MaLR|LTR
117,AluSg4,Alu,SINE,AluSg4|Alu|SINE
119,MamRep605,LTR,LTR,MamRep605|LTR|LTR
128,AluSx3,Alu,SINE,AluSx3|Alu|SINE
130,LTR33,ERVL,LTR,LTR33|ERVL|LTR
131,MSTB1,ERVL-MaLR,LTR,MSTB1|ERVL-MaLR|LTR
132,AluSq,Alu,SINE,AluSq|Alu|SINE
139,MLT1C,ERVL-MaLR,LTR,MLT1C|ERVL-MaLR|LTR
142,AluJb,Alu,SINE,AluJb|Alu|SINE
144,FAM,Alu,SINE,FAM|Alu|SINE
147,AluSq2,Alu,SINE,AluSq2|Alu|SINE
149,MLT1F2,ERVL-MaLR,LTR,MLT1F2|ERVL-MaLR|LTR
150,L1ME3E,L1,LINE,L1ME3E|L1|LINE
151,LTR33B,ERVL,LTR,LTR33B|ERVL|LTR
153,MER65D,ERV1,LTR,MER65D|ERV1|LTR
159,MLT1D,ERVL-MaLR,LTR,MLT1D|ERVL-MaLR|LTR
161,THE1C,ERVL-MaLR,LTR,THE1C|ERVL-MaLR|LTR
163,L1MA5,L1,LINE,L1MA5|L1|LINE
176,FLAM_C,Alu,SINE,FLAM_C|Alu|SINE
179,AluSg,Alu,SINE,AluSg|Alu|SINE
183,MER1A,hAT-Charlie,DNA,MER1A|hAT-Charlie|DNA
186,MER21C,ERVL,LTR,MER21C|ERVL|LTR
196,LTR41,ERVL,LTR,LTR41|ERVL|LTR
207,AluJr4,Alu,SINE,AluJr4|Alu|SINE
210,L1MB8,L1,LINE,L1MB8|L1|LINE
216,Tigger12,TcMar-Tigger,DNA,Tigger12|TcMar-Tigger|DNA
218,LTR37A,ERV1,LTR,LTR37A|ERV1|LTR
223,AluSg7,Alu,SINE,AluSg7|Alu|SINE
232,MER11C,ERVK,LTR,MER11C|ERVK|LTR
236,L1ME4b,L1,LINE,L1ME4b|L1|LINE
242,MER8,TcMar-Tigger,DNA,MER8|TcMar-Tigger|DNA
245,AluSx1,Alu,SINE,AluSx1|Alu|SINE
248,MSTD,ERVL-MaLR,LTR,MSTD|ERVL-MaLR|LTR
257,AluYh3,Alu,SINE,AluYh3|Alu|SINE
261,Charlie4z,hAT-Charlie,DNA,Charlie4z|hAT-Charlie|DNA
281,Charlie15a,hAT-Charlie,DNA,Charlie15a|hAT-Charlie|DNA
308,MLT1J,ERVL-MaLR,LTR,MLT1J|ERVL-MaLR|LTR
314,MLT2B3,ERVL,LTR,MLT2B3|ERVL|LTR
318,MER31-int,ERV1,LTR,MER31-int|ERV1|LTR
319,MER92-int,ERV1,LTR,MER92-int|ERV1|LTR
325,MER34A,ERV1,LTR,MER34A|ERV1|LTR
326,L1MC3,L1,LINE,L1MC3|L1|LINE
327,MSTA1,ERVL-MaLR,LTR,MSTA1|ERVL-MaLR|LTR
330,MER4A1,ERV1,LTR,MER4A1|ERV1|LTR
345,L1ME4a,L1,LINE,L1ME4a|L1|LINE
396,AluYc,Alu,SINE,AluYc|Alu|SINE
410,L1MC,L1,LINE,L1MC|L1|LINE
415,MER4A,ERV1,LTR,MER4A|ERV1|LTR
417,Charlie30a,hAT-Charlie,DNA,Charlie30a|hAT-Charlie|DNA
418,MER31B,ERV1,LTR,MER31B|ERV1|LTR
420,L1MA4,L1,LINE,L1MA4|L1|LINE
425,Charlie9,hAT-Charlie,DNA,Charlie9|hAT-Charlie|DNA
427,Ricksha_0,MULE-MuDR,DNA,Ricksha_0|MULE-MuDR|DNA
429,Tigger4b,TcMar-Tigger,DNA,Tigger4b|TcMar-Tigger|DNA
430,Charlie20a,hAT-Charlie,DNA,Charlie20a|hAT-Charlie|DNA
433,L1MD3,L1,LINE,L1MD3|L1|LINE
437,AluYf1,Alu,SINE,AluYf1|Alu|SINE
440,L1MC4a,L1,LINE,L1MC4a|L1|LINE
447,MER39B,ERV1,LTR,MER39B|ERV1|LTR
449,L1ME1,L1,LINE,L1ME1|L1|LINE
455,LTR9B,ERV1,LTR,LTR9B|ERV1|LTR
457,MER5A,hAT-Charlie,DNA,MER5A|hAT-Charlie|DNA
459,MER4E1,ERV1,LTR,MER4E1|ERV1|LTR
466,MLT1E3,ERVL-MaLR,LTR,MLT1E3|ERVL-MaLR|LTR
472,LTR37B,ERV1,LTR,LTR37B|ERV1|LTR
474,MLT1O,ERVL-MaLR,LTR,MLT1O|ERVL-MaLR|LTR
476,MSTA,ERVL-MaLR,LTR,MSTA|ERVL-MaLR|LTR
483,MER103C,hAT-Charlie,DNA,MER103C|hAT-Charlie|DNA
486,LTR39,ERV1,LTR,LTR39|ERV1|LTR
533,L1ME3B,L1,LINE,L1ME3B|L1|LINE
536,L1PA5,L1,LINE,L1PA5|L1|LINE
538,L1ME3D,L1,LINE,L1ME3D|L1|LINE
541,L1P4,L1,LINE,L1P4|L1|LINE
544,L1MA2,L1,LINE,L1MA2|L1|LINE
547,LTR22C2,ERVK,LTR,LTR22C2|ERVK|LTR
548,L1PA15-16,L1,LINE,L1PA15-16|L1|LINE
551,L1PA8A,L1,LINE,L1PA8A|L1|LINE
552,L1PA8,L1,LINE,L1PA8|L1|LINE
580,L1PA10,L1,LINE,L1PA10|L1|LINE
582,L1MEd,L1,LINE,L1MEd|L1|LINE
585,ERVL-int,ERVL,LTR,ERVL-int|ERVL|LTR
586,L1MA7,L1,LINE,L1MA7|L1|LINE
600,L1MEc,L1,LINE,L1MEc|L1|LINE
603,L1M7,L1,LINE,L1M7|L1|LINE
609,MLT1H1,ERVL-MaLR,LTR,MLT1H1|ERVL-MaLR|LTR
610,THE1B,ERVL-MaLR,LTR,THE1B|ERVL-MaLR|LTR
611,THE1B-int,ERVL-MaLR,LTR,THE1B-int|ERVL-MaLR|LTR
614,MLT1H1-int,ERVL-MaLR,LTR,MLT1H1-int|ERVL-MaLR|LTR
616,LTR64,ERV1,LTR,LTR64|ERV1|LTR
633,THE1D,ERVL-MaLR,LTR,THE1D|ERVL-MaLR|LTR
772,MER112,hAT-Charlie,DNA,MER112|hAT-Charlie|DNA
785,MLT1F1,ERVL-MaLR,LTR,MLT1F1|ERVL-MaLR|LTR
855,MER124,DNA,DNA,MER124|DNA|DNA
906,L1PA11,L1,LINE,L1PA11|L1|LINE
980,L1M4c,L1,LINE,L1M4c|L1|LINE
1118,FRAM,Alu,SINE,FRAM|Alu|SINE
1126,MER3,hAT-Charlie,DNA,MER3|hAT-Charlie|DNA
1127,MER5A1,hAT-Charlie,DNA,MER5A1|hAT-Charlie|DNA
1129,L1ME3,L1,LINE,L1ME3|L1|LINE
1130,L1MEg,L1,LINE,L1MEg|L1|LINE
1131,L1MC4,L1,LINE,L1MC4|L1|LINE
1136,LTR104_Mam,Gypsy,LTR,LTR104_Mam|Gypsy|LTR
1137,BLACKJACK,hAT-Blackjack,DNA,BLACKJACK|hAT-Blackjack|DNA
1138,L1M3,L1,LINE,L1M3|L1|LINE
1141,LTR7,ERV1,LTR,LTR7|ERV1|LTR
1144,MER67C,ERV1,LTR,MER67C|ERV1|LTR
1145,LTR67B,ERVL,LTR,LTR67B|ERVL|LTR
1150,LTR79,ERVL,LTR,LTR79|ERVL|LTR
1151,Charlie1b,hAT-Charlie,DNA,Charlie1b|hAT-Charlie|DNA
1153,Charlie1a,hAT-Charlie,DNA,Charlie1a|hAT-Charlie|DNA
1154,Tigger3a,TcMar-Tigger,DNA,Tigger3a|TcMar-Tigger|DNA
1165,MER113A,hAT-Charlie,DNA,MER113A|hAT-Charlie|DNA
1168,MER44B,TcMar-Tigger,DNA,MER44B|TcMar-Tigger|DNA
1170,Chap1_Mam,hAT-Charlie,DNA,Chap1_Mam|hAT-Charlie|DNA
1172,L1M8,L1,LINE,L1M8|L1|LINE
1179,MER102c,hAT-Charlie,DNA,MER102c|hAT-Charlie|DNA
1182,MER44D,TcMar-Tigger,DNA,MER44D|TcMar-Tigger|DNA
1184,MER41D,ERV1,LTR,MER41D|ERV1|LTR
1186,HAL1,L1,LINE,HAL1|L1|LINE
1188,MLT1A1,ERVL-MaLR,LTR,MLT1A1|ERVL-MaLR|LTR
1191,LTR78,ERV1,LTR,LTR78|ERV1|LTR
1200,SVA_D,SVA,Retroposon,SVA_D|SVA|Retroposon
1202,L1M4b,L1,LINE,L1M4b|L1|LINE
1207,MLT1B,ERVL-MaLR,LTR,MLT1B|ERVL-MaLR|LTR
1209,L1MC1,L1,LINE,L1MC1|L1|LINE
1213,L1PA3,L1,LINE,L1PA3|L1|LINE
1216,Charlie19a,hAT-Charlie,DNA,Charlie19a|hAT-Charlie|DNA
1220,LTR2C,ERV1,LTR,LTR2C|ERV1|LTR
1229,L1MB4,L1,LINE,L1MB4|L1|LINE
1241,AluSc8,Alu,SINE,AluSc8|Alu|SINE
1245,LOR1-int,ERV1,LTR,LOR1-int|ERV1|LTR
1252,LTR57-int,ERVL,LTR,LTR57-int|ERVL|LTR
1255,LTR49-int,ERV1,LTR,LTR49-int|ERV1|LTR
1258,HERVK9-int,ERVK,LTR,HERVK9-int|ERVK|LTR
1263,MER9a2,ERVK,LTR,MER9a2|ERVK|LTR
1265,MER102a,hAT-Charlie,DNA,MER102a|hAT-Charlie|DNA
1269,MER67A,ERV1,LTR,MER67A|ERV1|LTR
1274,MER2,TcMar-Tigger,DNA,MER2|TcMar-Tigger|DNA
1277,HERV16-int,ERVL,LTR,HERV16-int|ERVL|LTR
1299,MER63B,hAT-Blackjack,DNA,MER63B|hAT-Blackjack|DNA
1310,MER4A1_,ERV1,LTR,MER4A1_|ERV1|LTR
1355,MLT1G1,ERVL-MaLR,LTR,MLT1G1|ERVL-MaLR|LTR
1360,AluYa5,Alu,SINE,AluYa5|Alu|SINE
1361,L1MD,L1,LINE,L1MD|L1|LINE
1381,LTR12C,ERV1,LTR,LTR12C|ERV1|LTR
1397,LTR13A,ERVK,LTR,LTR13A|ERVK|LTR
1402,L1ME2,L1,LINE,L1ME2|L1|LINE
1450,MER49,ERV1,LTR,MER49|ERV1|LTR
1454,MER50,ERV1,LTR,MER50|ERV1|LTR
1460,AluSx4,Alu,SINE,AluSx4|Alu|SINE
1464,L1PB1,L1,LINE,L1PB1|L1|LINE
1479,MER41B,ERV1,LTR,MER41B|ERV1|LTR
1480,MER30,hAT-Charlie,DNA,MER30|hAT-Charlie|DNA
1486,Arthur1B,hAT-Tip100,DNA,Arthur1B|hAT-Tip100|DNA
1504,LTR46,ERV1,LTR,LTR46|ERV1|LTR
1527,MER9a1,ERVK,LTR,MER9a1|ERVK|LTR
1567,LTR13,ERVK,LTR,LTR13|ERVK|LTR
1571,LTR13_,ERVK,LTR,LTR13_|ERVK|LTR
1577,MER54A,ERVL,LTR,MER54A|ERVL|LTR
1585,MER68,ERVL,LTR,MER68|ERVL|LTR
1592,L3b,CR1,LINE,L3b|CR1|LINE
1597,MER4B,ERV1,LTR,MER4B|ERV1|LTR
1598,MER4B-int,ERV1,LTR,MER4B-int|ERV1|LTR
1613,AluYe5,Alu,SINE,AluYe5|Alu|SINE
1645,AluSq4,Alu,SINE,AluSq4|Alu|SINE
1665,MER20,hAT-Charlie,DNA,MER20|hAT-Charlie|DNA
1671,MER63D,hAT-Blackjack,DNA,MER63D|hAT-Blackjack|DNA
1681,MER66C,ERV1,LTR,MER66C|ERV1|LTR
1688,MER66-int,ERV1,LTR,MER66-int|ERV1|LTR
1707,AluYk11,Alu,SINE,AluYk11|Alu|SINE
1729,AluYh9,Alu,SINE,AluYh9|Alu|SINE
1737,MER74B,ERVL,LTR,MER74B|ERVL|LTR
1738,LTR5_Hs,ERVK,LTR,LTR5_Hs|ERVK|LTR
1743,LTR2B,ERV1,LTR,LTR2B|ERV1|LTR
1744,Harlequin-int,ERV1,LTR,Harlequin-int|ERV1|LTR
1751,LTR75,ERVL,LTR,LTR75|ERVL|LTR
1774,AluYa8,Alu,SINE,AluYa8|Alu|SINE
1777,LTR10A,ERV1,LTR,LTR10A|ERV1|LTR
1780,HERV9N-int,ERV1,LTR,HERV9N-int|ERV1|LTR
1786,HERVIP10F-int,ERV1,LTR,HERVIP10F-int|ERV1|LTR
1787,MER131,DNA,DNA,MER131|DNA|DNA
1806,MLT1A0,ERVL-MaLR,LTR,MLT1A0|ERVL-MaLR|LTR
1815,AluYh3a3,Alu,SINE,AluYh3a3|Alu|SINE
1824,LTR7B,ERV1,LTR,LTR7B|ERV1|LTR
1899,L1M1,L1,LINE,L1M1|L1|LINE
1916,Charlie22a,hAT-Charlie,DNA,Charlie22a|hAT-Charlie|DNA
1974,AluYk3,Alu,SINE,AluYk3|Alu|SINE
1993,MER65A,ERV1,LTR,MER65A|ERV1|LTR
1996,MER65-int,ERV1,LTR,MER65-int|ERV1|LTR
2000,MER52A,ERV1,LTR,MER52A|ERV1|LTR
2024,MER52C,ERV1,LTR,MER52C|ERV1|LTR
2044,MER83,ERV1,LTR,MER83|ERV1|LTR
2062,MER113,hAT-Charlie,DNA,MER113|hAT-Charlie|DNA
2075,LTR26B,ERV1,LTR,LTR26B|ERV1|LTR
2076,LTR42,ERVL,LTR,LTR42|ERVL|LTR
2080,MER4D,ERV1,LTR,MER4D|ERV1|LTR
2102,L1M4a2,L1,LINE,L1M4a2|L1|LINE
2124,Tigger1a_Art,TcMar-Tigger,DNA,Tigger1a_Art|TcMar-Tigger|DNA
2137,MER65B,ERV1,LTR,MER65B|ERV1|LTR
2144,AluYi6,Alu,SINE,AluYi6|Alu|SINE
2150,L1P5,L1,LINE,L1P5|L1|LINE
2156,OldhAT1,hAT-Ac,DNA,OldhAT1|hAT-Ac|DNA
2160,L1MC5,L1,LINE,L1MC5|L1|LINE
2163,AluYk2,Alu,SINE,AluYk2|Alu|SINE
2210,ORSL-2b,hAT-Tip100,DNA,ORSL-2b|hAT-Tip100|DNA
2227,L1M4a1,L1,LINE,L1M4a1|L1|LINE
2237,AluYm1,Alu,SINE,AluYm1|Alu|SINE
2246,Tigger1,TcMar-Tigger,DNA,Tigger1|TcMar-Tigger|DNA
2346,L1MCa,L1,LINE,L1MCa|L1|LINE
2352,Tigger16a,TcMar-Tigger,DNA,Tigger16a|TcMar-Tigger|DNA
2357,Arthur1A,hAT-Tip100,DNA,Arthur1A|hAT-Tip100|DNA
2378,L1ME3G,L1,LINE,L1ME3G|L1|LINE
2382,L1MEf,L1,LINE,L1MEf|L1|LINE
2442,AluYc3,Alu,SINE,AluYc3|Alu|SINE
2465,Charlie15b,hAT-Charlie,DNA,Charlie15b|hAT-Charlie|DNA
2486,Tigger2,TcMar-Tigger,DNA,Tigger2|TcMar-Tigger|DNA
2514,Tigger7,TcMar-Tigger,DNA,Tigger7|TcMar-Tigger|DNA
2515,MER119,hAT-Charlie,DNA,MER119|hAT-Charlie|DNA
2530,X7A_LINE,CR1,LINE,X7A_LINE|CR1|LINE
2558,MER94,hAT-Blackjack,DNA,MER94|hAT-Blackjack|DNA
2568,MER1B,hAT-Charlie,DNA,MER1B|hAT-Charlie|DNA
2581,Charlie1,hAT-Charlie,DNA,Charlie1|hAT-Charlie|DNA
2651,LTR16E1,ERVL,LTR,LTR16E1|ERVL|LTR
2653,ERV3-16A3_LTR,ERVL,LTR,ERV3-16A3_LTR|ERVL|LTR
2654,MLT2D,ERVL,LTR,MLT2D|ERVL|LTR
2657,L1MB2,L1,LINE,L1MB2|L1|LINE
2663,Charlie2b,hAT-Charlie,DNA,Charlie2b|hAT-Charlie|DNA
2673,MER81,hAT-Blackjack,DNA,MER81|hAT-Blackjack|DNA
2707,MER91B,hAT-Tip100,DNA,MER91B|hAT-Tip100|DNA
2723,MER31A,ERV1,LTR,MER31A|ERV1|LTR
2727,MSTB,ERVL-MaLR,LTR,MSTB|ERVL-MaLR|LTR
2732,ERVL-E-int,ERVL,LTR,ERVL-E-int|ERVL|LTR
2745,LTR18B,ERVL,LTR,LTR18B|ERVL|LTR
2785,MER102b,hAT-Charlie,DNA,MER102b|hAT-Charlie|DNA
2829,MER46C,TcMar-Tigger,DNA,MER46C|TcMar-Tigger|DNA
2834,Charlie8,hAT-Charlie,DNA,Charlie8|hAT-Charlie|DNA
2848,LTR81B,Gypsy,LTR,LTR81B|Gypsy|LTR
2852,LTR40a,ERVL,LTR,LTR40a|ERVL|LTR
2853,LTR81,Gypsy,LTR,LTR81|Gypsy|LTR
2891,MER58B,hAT-Charlie,DNA,MER58B|hAT-Charlie|DNA
2893,MER74A,ERVL,LTR,MER74A|ERVL|LTR
2901,MER63A,hAT-Blackjack,DNA,MER63A|hAT-Blackjack|DNA
2927,LTR52,ERVL,LTR,LTR52|ERVL|LTR
2935,Kanga1,TcMar-Tc2,DNA,Kanga1|TcMar-Tc2|DNA
2954,MLT-int,ERVL-MaLR,LTR,MLT-int|ERVL-MaLR|LTR
2959,MLT2C1,ERVL,LTR,MLT2C1|ERVL|LTR
2961,L1ME3F,L1,LINE,L1ME3F|L1|LINE
2982,Tigger3c,TcMar-Tigger,DNA,Tigger3c|TcMar-Tigger|DNA
2988,MER91A,hAT-Tip100,DNA,MER91A|hAT-Tip100|DNA
2993,MLT2B1,ERVL,LTR,MLT2B1|ERVL|LTR
3021,L1MB7,L1,LINE,L1MB7|L1|LINE
3037,AmnSINE2,tRNA-Deu,SINE,AmnSINE2|tRNA-Deu|SINE
3101,MamRTE1,RTE-BovB,LINE,MamRTE1|RTE-BovB|LINE
3129,THE1A,ERVL-MaLR,LTR,THE1A|ERVL-MaLR|LTR
3137,MER45B,hAT-Tip100,DNA,MER45B|hAT-Tip100|DNA
3160,LTR81C,Gypsy,LTR,LTR81C|Gypsy|LTR
3170,Tigger2a,TcMar-Tigger,DNA,Tigger2a|TcMar-Tigger|DNA
3190,MER66B,ERV1,LTR,MER66B|ERV1|LTR
3207,LTR41C,ERVL,LTR,LTR41C|ERVL|LTR
3211,MER34C_,ERV1,LTR,MER34C_|ERV1|LTR
3225,MER58C,hAT-Charlie,DNA,MER58C|hAT-Charlie|DNA
3257,LTR26,ERV1,LTR,LTR26|ERV1|LTR
3352,LTR40c,ERVL,LTR,LTR40c|ERVL|LTR
3354,MER34,ERV1,LTR,MER34|ERV1|LTR
3356,LTR19A,ERV1,LTR,LTR19A|ERV1|LTR
3368,MER89,ERV1,LTR,MER89|ERV1|LTR
3375,L1MCc,L1,LINE,L1MCc|L1|LINE
3381,AmnSINE1,5S-Deu-L2,SINE,AmnSINE1|5S-Deu-L2|SINE
3409,MSTA-int,ERVL-MaLR,LTR,MSTA-int|ERVL-MaLR|LTR
3410,HERVL-int,ERVL,LTR,HERVL-int|ERVL|LTR
3415,LTR27B,ERV1,LTR,LTR27B|ERV1|LTR
3416,LTR27C,ERV1,LTR,LTR27C|ERV1|LTR
3432,Tigger2b_Pri,TcMar-Tigger,DNA,Tigger2b_Pri|TcMar-Tigger|DNA
3436,MER117,hAT-Charlie,DNA,MER117|hAT-Charlie|DNA
3442,L1MEb,L1,LINE,L1MEb|L1|LINE
3453,LTR106_Mam,LTR,LTR,LTR106_Mam|LTR|LTR
