,Family,Superfamily,Class,TE_human
11903,Charlie23a,hAT-Charlie,DNA,Charlie23a|hAT-Charlie|DNA
11925,MamRep1151,LTR,LTR,MamRep1151|LTR|LTR
11931,Tigger9a,TcMar-Tigger,DNA,Tigger9a|TcMar-Tigger|DNA
11984,Charlie17,hAT-Charlie,DNA,Charlie17|hAT-Charlie|DNA
12089,L1MCb,L1,LINE,L1MCb|L1|LINE
12448,MER51B,ERV1,LTR,MER51B|ERV1|LTR
12466,HERV9-int,ERV1,LTR,HERV9-int|ERV1|LTR
12480,LTR47A,ERVL,LTR,LTR47A|ERVL|LTR
12498,MER9a3,ERVK,LTR,MER9a3|ERVK|LTR
12514,LTR82A,ERVL,LTR,LTR82A|ERVL|LTR
12531,LTR21A,ERV1,LTR,LTR21A|ERV1|LTR
12583,LTR77,ERV1,LTR,LTR77|ERV1|LTR
12584,LTR61,ERV1,LTR,LTR61|ERV1|LTR
12743,MER106B,hAT-Charlie,DNA,MER106B|hAT-Charlie|DNA
12799,Charlie7a,hAT-Charlie,DNA,Charlie7a|hAT-Charlie|DNA
12877,LTR56,ERV1,LTR,LTR56|ERV1|LTR
12903,MER4C,ERV1,LTR,MER4C|ERV1|LTR
12938,MER41E,ERV1,LTR,MER41E|ERV1|LTR
12941,AluYe6,Alu,SINE,AluYe6|Alu|SINE
12952,HERVFH19-int,ERV1,LTR,HERVFH19-int|ERV1|LTR
12962,MER110A,ERV1,LTR,MER110A|ERV1|LTR
12976,AluYd8,Alu,SINE,AluYd8|Alu|SINE
13025,MER11D,ERVK,LTR,MER11D|ERVK|LTR
13145,hAT-N1_Mam,hAT-Tip100,DNA,hAT-N1_Mam|hAT-Tip100|DNA
13164,MamGypLTR3a,Gypsy,LTR,MamGypLTR3a|Gypsy|LTR
13173,LTR26E,ERV1,LTR,LTR26E|ERV1|LTR
13336,MamRep488,hAT-Tip100,DNA,MamRep488|hAT-Tip100|DNA
13373,MLT2B5,ERVL,LTR,MLT2B5|ERVL|LTR
13418,X7C_LINE,CR1,LINE,X7C_LINE|CR1|LINE
13487,Zaphod2,hAT-Tip100,DNA,Zaphod2|hAT-Tip100|DNA
13801,LTR9,ERV1,LTR,LTR9|ERV1|LTR
13817,LTR60B,ERV1,LTR,LTR60B|ERV1|LTR
13850,LTR2,ERV1,LTR,LTR2|ERV1|LTR
14124,MER57C1,ERV1,LTR,MER57C1|ERV1|LTR
14155,MER21-int,ERVL,LTR,MER21-int|ERVL|LTR
14208,AluYi6_4d,Alu,SINE,AluYi6_4d|Alu|SINE
14422,SVA_C,SVA,Retroposon,SVA_C|SVA|Retroposon
14441,Tigger4,TcMar-Tigger,DNA,Tigger4|TcMar-Tigger|DNA
14444,MER47C,TcMar-Tigger,DNA,MER47C|TcMar-Tigger|DNA
14635,SVA_A,SVA,Retroposon,SVA_A|SVA|Retroposon
14893,LTR83,ERVL,LTR,LTR83|ERVL|LTR
14934,LTR1D1,ERV1,LTR,LTR1D1|ERV1|LTR
14959,LTR51,ERV1,LTR,LTR51|ERV1|LTR
15021,HUERS-P1-int,ERV1,LTR,HUERS-P1-int|ERV1|LTR
15101,Kanga1c,TcMar-Tc2,DNA,Kanga1c|TcMar-Tc2|DNA
15655,Tigger12c,TcMar-Tigger,DNA,Tigger12c|TcMar-Tigger|DNA
15675,X7D_LINE,CR1,LINE,X7D_LINE|CR1|LINE
15677,Tigger10,TcMar-Tigger,DNA,Tigger10|TcMar-Tigger|DNA
15730,MER106A,hAT-Charlie,DNA,MER106A|hAT-Charlie|DNA
15936,LTR84a,ERVL,LTR,LTR84a|ERVL|LTR
15967,Tigger16b,TcMar-Tigger,DNA,Tigger16b|TcMar-Tigger|DNA
16166,UCON14,DNA,DNA,UCON14|DNA|DNA
16190,UCON29,PiggyBac,DNA,UCON29|PiggyBac|DNA
16238,Charlie13a,hAT-Charlie,DNA,Charlie13a|hAT-Charlie|DNA
16281,MLT2F,ERVL,LTR,MLT2F|ERVL|LTR
16290,L2-1_AMi,L2,LINE,L2-1_AMi|L2|LINE
16575,Cheshire,hAT-Charlie,DNA,Cheshire|hAT-Charlie|DNA
16598,UCON81,hAT-Charlie,DNA,UCON81|hAT-Charlie|DNA
16906,LTR84b,ERVL,LTR,LTR84b|ERVL|LTR
17061,LTR26C,ERV1,LTR,LTR26C|ERV1|LTR
17199,MER2B,TcMar-Tigger,DNA,MER2B|TcMar-Tigger|DNA
17486,Charlie13b,hAT-Charlie,DNA,Charlie13b|hAT-Charlie|DNA
17513,CR1-8_Crp,CR1,LINE,CR1-8_Crp|CR1|LINE
17703,LTR16,ERVL,LTR,LTR16|ERVL|LTR
17832,LTR43B,ERV1,LTR,LTR43B|ERV1|LTR
17862,HERVIP10FH-int,ERV1,LTR,HERVIP10FH-int|ERV1|LTR
18079,LTR103_Mam,ERV1,LTR,LTR103_Mam|ERV1|LTR
18161,LTR47B2,ERVL,LTR,LTR47B2|ERVL|LTR
18861,ERV24B_Prim-int,ERV1,LTR,ERV24B_Prim-int|ERV1|LTR
18880,HSMAR1,TcMar-Mariner,DNA,HSMAR1|TcMar-Mariner|DNA
19089,MER34B-int,ERV1,LTR,MER34B-int|ERV1|LTR
19225,LTR75B,ERVL,LTR,LTR75B|ERVL|LTR
19599,LTR1C1,ERV1,LTR,LTR1C1|ERV1|LTR
19675,MER67B,ERV1,LTR,MER67B|ERV1|LTR
20110,MER97c,hAT-Tip100,DNA,MER97c|hAT-Tip100|DNA
20117,MLT2E,ERVL,LTR,MLT2E|ERVL|LTR
20208,LTR65,ERV1,LTR,LTR65|ERV1|LTR
20281,HSMAR2,TcMar-Mariner,DNA,HSMAR2|TcMar-Mariner|DNA
20317,Tigger8,TcMar-Tigger,DNA,Tigger8|TcMar-Tigger|DNA
20399,MER52-int,ERV1,LTR,MER52-int|ERV1|LTR
20400,LTR22B1,ERVK,LTR,LTR22B1|ERVK|LTR
20433,MER68-int,ERVL,LTR,MER68-int|ERVL|LTR
20452,MER70C,ERVL,LTR,MER70C|ERVL|LTR
20487,LTR102_Mam,ERVL,LTR,LTR102_Mam|ERVL|LTR
20520,LTR10F,ERV1,LTR,LTR10F|ERV1|LTR
20548,MER6,TcMar-Tigger,DNA,MER6|TcMar-Tigger|DNA
20630,Tigger6b,TcMar-Tigger,DNA,Tigger6b|TcMar-Tigger|DNA
20634,PRIMA4-int,ERV1,LTR,PRIMA4-int|ERV1|LTR
20635,HERVK-int,ERVK,LTR,HERVK-int|ERVK|LTR
20653,MER41G,ERV1,LTR,MER41G|ERV1|LTR
20660,Tigger6a,TcMar-Tigger,DNA,Tigger6a|TcMar-Tigger|DNA
20667,L1HS,L1,LINE,L1HS|L1|LINE
20695,LTR44,ERV1,LTR,LTR44|ERV1|LTR
20724,LTR45B,ERV1,LTR,LTR45B|ERV1|LTR
20729,MER57A-int,ERV1,LTR,MER57A-int|ERV1|LTR
20811,LTR45,ERV1,LTR,LTR45|ERV1|LTR
20830,MER101-int,ERV1,LTR,MER101-int|ERV1|LTR
20885,L1M3f,L1,LINE,L1M3f|L1|LINE
20900,LTR57,ERVL,LTR,LTR57|ERVL|LTR
21004,HERV3-int,ERV1,LTR,HERV3-int|ERV1|LTR
21024,HERVE-int,ERV1,LTR,HERVE-int|ERV1|LTR
21242,LTR1C3,ERV1,LTR,LTR1C3|ERV1|LTR
21263,LTR7Y,ERV1,LTR,LTR7Y|ERV1|LTR
21598,HERV9NC-int,ERV1,LTR,HERV9NC-int|ERV1|LTR
