Disease,Top_Class
neurodevelopmental disabilities,"Mental, behavioural or neurodevelopmental disorders"
neurodevelopmental disorder,"Mental, behavioural or neurodevelopmental disorders"
neurodevelopmental disorders,"Mental, behavioural or neurodevelopmental disorders"
neurofibromatosis,Diseases of the visual system
neurological conditions,Diseases of the skin
neurological disease,Diseases of the immune system
neurological diseases,Diseases of the immune system
neurological disorders,"Mental, behavioural or neurodevelopmental disorders"
neuropsychiatric disorders,Diseases of the nervous system
neutral lipid storage disease,"Endocrine, nutritional or metabolic diseases"
non-small cell lung cancer,Neoplasms
non-small cell lung cancers,Neoplasms
non-small-cell lung carcinoma,Neoplasms
ovarian cancer,Neoplasms
ovarian cancers,Neoplasms
ovarian immature teratoma,Neoplasms
ovarian malignancies,Neoplasms
ovarian tumor,Neoplasms
pancreatic cancer,Neoplasms
pancreatic carcinoma,Neoplasms
pancreatic ductal adenocarcinoma,Neoplasms
pancreatic neuroendocrine tumor,Neoplasms
pineoblastomas,Neoplasms
post-traumatic stress disorder,"Mental, behavioural or neurodevelopmental disorders"
pre-B ALL,Neoplasms
pregnancy complications,"Pregnancy, childbirth or the puerperium"
premature aging syndromes,Diseases of the skin
primary carcinomas,Neoplasms
progressive supranuclear palsy,Diseases of the nervous system
prostate cancer,Neoplasms
prostate carcinoma,Neoplasms
prostate tumor,Neoplasms
psychiatric disorders,"Mental, behavioural or neurodevelopmental disorders"
psychological disorders,"Mental, behavioural or neurodevelopmental disorders"
pyruvate dehydrogenase complex deficiency,"Endocrine, nutritional or metabolic diseases"
recurrent pregnancy loss,Diseases of the genitourinary system
relapsing-remitting multiple sclerosis,Diseases of the nervous system
renal cancer,Neoplasms
renal carcinoma,Neoplasms
renal cell carcinoma,Neoplasms
retinal degenerations,Diseases of the visual system
retinitis punctata albescens,Diseases of the visual system
sarcoid myopathy,Diseases of the immune system
sarcoidosis,Diseases of the immune system
Schizophrenia,"Mental, behavioural or neurodevelopmental disorders"
secondary malignancies,Neoplasms
seizures/epilepsy,Diseases of the nervous system
severe diseases,Diseases of the genitourinary system
sickle cell disease,Diseases of the blood or blood-forming organs
skin cancer,Neoplasms
skin tumor,Neoplasms
solid cancers,Neoplasms
solid tumors,Neoplasms
spinocerebellar ataxia type 12,Diseases of the nervous system
sporadic diseases,Certain infectious or parasitic diseases
squamous cell carcinoma,Neoplasms
squamous cell lung cancer,Neoplasms
stomach cancer,Neoplasms
stomach tumors,Neoplasms
stroke,Diseases of the nervous system
systemic autoimmune disease,Diseases of the immune system
tauopathies,"Mental, behavioural or neurodevelopmental disorders"
teratoma,Neoplasms
testicular germ cell tumors,Neoplasms
testicular germ cell tumours,Neoplasms
thyroid cancer,Neoplasms
tonsillar carcinoma,Neoplasms
transitional cell carcinoma,Neoplasms
tuberous sclerosis,Neoplasms
tumor,Neoplasms
tumor diseases,Neoplasms
tumors,Neoplasms
type 2 diabetes mellitus,"Endocrine, nutritional or metabolic diseases"
